Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
114258.92+394321.0,175.745505,39.722509,1.75,0.0,0.0,0.0,,,,84.8,84.8,-8.2,-3893,-6516,0.63,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,6.5,-27.22,-27.1,175.74551,39.722509,53386,1970,304,0.013844673846370146
114259.29-000156.4,175.747076,-0.032353,1.98,0.0,0.0,0.0,,,,0.0,527.2,-9.3,3,-2966,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,7.5,-27.29,-27.03,175.74707,-0.032347544,51959,283,435,0.029195073241139465
114304.85+632452.7,175.770248,63.414654,1.57,,,,,,,5142.5,5142.5,-31.1,-4043,-12527,0.77,29.6,29.6,-3.7,-6815,-9091,0.06,0.0,0.0,0.0,,,,0,0,1,0,,0,0,,0,5.3,,-27.1,175.7702,63.414667,52320,777,321,0.09039175240937453
114309.89+545613.4,175.791212,54.937073,2.28,0.0,0.0,0.0,,,,972.3,2862.4,-24.0,-97,-6998,0.83,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,7.1,-27.23,-26.99,175.79122,54.937064,52734,1015,600,0.03637985474489532
114316.98+132400.8,175.820767,13.400231,2.51,0.0,0.0,0.0,,,,151.8,151.8,-4.0,-11203,-14165,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,8.7,-27.0,-26.91,175.82077,13.400232,53138,1608,458,0.01110564699635215
114321.43+144310.9,175.839332,14.719719,2.02,0.0,0.0,0.0,,,,0.0,189.9,-6.8,10,-2889,0.4,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,12.4,-27.11,-26.94,175.83933,14.71972,53376,1761,236,0.007839202666106992
114328.31+373250.0,175.867989,37.547237,2.26,0.0,0.0,0.0,,,,1494.2,1494.2,-13.0,-6843,-12498,0.35,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.3,-27.25,-27.02,175.86799,37.547237,53442,1997,237,0.0028542642691337973
114333.62+013709.0,175.890101,1.619169,1.55,,,,,,,844.7,1633.5,-22.7,-2028,-10307,0.48,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.8,,-27.14,175.89005,1.6191619,51994,514,215,0.18529803101725636
114340.95+520303.3,175.920659,52.050927,1.82,502.3,1967.9,-14.8,-1195,-5888,0.72,6427.5,7467.9,-53.5,-1168,-23211,0.52,90.9,90.9,-3.6,-9046,-11872,0.0,0.0,0.0,0.0,,,,1,0,0,0,0,0,0,,0,21.6,-26.81,-26.32,175.92066,52.050931,52368,881,313,0.014569185653994189
114341.61+663331.1,175.923386,66.558662,2.33,0.0,0.0,0.0,,,,0.0,180.7,-5.1,-1676,-4230,0.27,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,1,9.3,-27.34,-26.88,175.92335,66.558673,51955,492,132,0.06500920863376666
