Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
000056.89-010409.7,0.237056,-1.069386,2.11,842.1,1504.2,-12.5,-2214,-6700,0.65,1355.5,2353.8,-20.7,-1497,-8605,0.56,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,0,0,0,0,0,,,0,4.7,-27.51,-27.15,0.23714343,-1.0693223,51791,387,98,0.3893834377458968
000103.85-104630.3,0.266058,-10.775086,2.08,0.0,0.0,0.0,,,,0.0,278.7,-6.2,-1146,-4322,0.28,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,17.7,-26.91,-26.7,0.26606394,-10.775073,52143,650,133,0.05129846826768047
000119.64+154828.8,0.331834,15.808002,1.92,2017.5,2017.5,-13.4,-7553,-13344,0.56,5171.9,5171.9,-33.7,-3730,-15383,0.7,115.1,115.1,-4.3,-9192,-12019,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,,0,8.4,-27.29,-27.04,0.33183565,15.807995,52235,750,566,0.025839992541123215
000303.35-105150.6,0.763963,-10.864074,3.65,0.0,0.0,0.0,,,,729.2,771.2,-17.8,-2859,-24000,0.16,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,1,,,0,6.7,-27.18,,0.76394295,-10.864079,52143,650,48,0.07313597522312242
000342.08+153628.7,0.925351,15.607983,1.57,,,,,,,0.0,426.3,-6.5,-2020,-4850,0.51,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.6,,-27.05,0.92536134,15.60798,52235,750,615,0.037442764704833244
000510.88-091400.0,1.295341,-9.233357,1.54,,,,,,,2.2,2.2,-3.5,-7095,-9164,0.07,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.4,,-27.02,1.2953407,-9.233349,52143,650,613,0.028819721883275428
000913.76-095754.5,2.30737,-9.965151,2.07,371.8,371.8,-5.2,-3179,-6905,0.04,1047.7,1604.6,-13.3,-1081,-7637,0.22,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,1,0,0,0,0,,,0,9.2,-27.11,-26.87,2.3073519,-9.9650679,52141,651,519,0.305966316308151
001025.90+005447.6,2.607954,0.913245,2.85,1660.6,1660.6,-12.2,-6759,-12895,0.3,2427.3,2427.3,-22.6,-7146,-17413,0.42,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,11.3,-27.16,,2.6080669,0.91322377,51795,389,332,0.41351269500525195
001130.55+005550.7,2.877324,0.930756,2.31,0.0,0.0,0.0,,,,315.5,917.7,-12.4,-1409,-6309,0.45,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,12.0,-27.08,-26.73,2.8773745,0.93077203,51795,389,339,0.19071636510596035
001408.22-085242.2,3.534266,-8.878405,1.74,,0.0,0.0,,,,733.7,1675.9,-17.4,-1848,-5988,0.95,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,5.6,-27.56,-26.88,3.5342819,-8.8783869,52138,652,363,0.08627976799956683
001438.28-010750.1,3.659519,-1.130607,1.82,1159.2,1159.2,-11.4,-2973,-7045,0.66,579.4,579.4,-10.3,-3084,-6052,0.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,1,0,0,0,0,,,0,9.9,-27.32,-26.87,3.6594875,-1.1305887,51795,389,211,0.13112866896349623
001502.26+001212.4,3.759431,0.203458,2.85,0.0,0.0,0.0,,,,808.4,808.4,-11.4,-5679,-10093,0.42,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,14.0,-27.1,,3.7594094,0.20349445,51795,389,465,0.15252943893167886
001528.86-090332.8,3.870256,-9.059112,2.0,2768.7,2768.7,-19.6,-7513,-13236,0.73,7131.3,7131.3,-43.6,-6452,-20090,0.66,0.0,0.0,0.0,,,,87.6,87.6,-5.9,-8768,-11664,0.0,0,0,0,0,0,0,,0,0,5.1,-27.59,-27.11,3.8702509,-9.0591024,52138,652,403,0.03902724983497674
001714.67-100055.4,4.311151,-10.015397,5.01,0.0,0.0,0.0,,,,1303.3,1303.3,-15.8,-14215,-17794,0.77,,,,,,,,,,,,,0,1,0,0,,0,,,0,,-27.23,,4.3111188,-10.015412,52138,652,152,0.12628151588702666
001824.95+001525.8,4.603987,0.257193,2.43,2154.4,3281.8,-25.4,-1565,-12533,0.46,4918.4,6327.7,-42.4,-1538,-14435,0.72,14.1,14.1,-2.3,-3413,-5553,0.0,0.0,0.0,0.0,,,,1,0,0,0,0,0,0,,0,7.3,-27.41,-27.09,4.6039954,0.25719933,51900,390,394,0.03786465525079213
001836.40-002933.0,4.651704,-0.492522,1.85,0.0,0.0,0.0,,,,0.0,411.0,-8.1,-1189,-4917,0.43,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,10.0,-27.13,-26.98,4.6516831,-0.49250464,51795,389,66,0.0978079205687328
001918.43+150611.3,4.826808,15.103159,4.13,0.0,0.0,0.0,,,,682.5,682.5,-6.9,-20140,-25013,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,2.6,-27.32,,4.8268183,15.10315,52233,753,391,0.048283974979581104
001927.87+003359.9,4.86615,0.566652,1.62,,,,,,,790.5,2086.0,-18.7,-1354,-5840,0.95,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,3.3,,-27.03,4.8661431,0.56667835,51795,389,632,0.09805806875108633
001959.90-095235.2,4.999602,-9.876457,2.54,2201.1,2457.1,-16.6,-2585,-9209,0.62,2197.9,2794.0,-24.2,-2213,-9044,0.76,35.6,35.6,-3.9,-4709,-7124,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,1,,0,6.6,-27.15,-27.03,4.9995618,-9.8764355,52138,652,639,0.16222964757678157
002127.88+010420.2,5.366178,1.072278,1.82,0.0,0.0,0.0,,,,117.1,275.8,-8.2,-2591,-5904,0.52,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,20.0,-26.98,-26.83,5.3661739,1.0723317,51900,390,443,0.1938824481531678
002136.52-094144.1,5.402205,-9.695596,2.09,0.0,0.0,0.0,,,,185.0,185.0,-3.6,-10021,-13467,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,10.0,-27.16,-27.1,5.4021884,-9.6955885,52145,653,435,0.06479942576774428
002146.71-004847.9,5.444663,-0.813322,2.5,0.0,0.0,0.0,,,,128.2,128.2,-2.9,-17626,-21269,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,16.0,-27.02,-26.91,5.4446487,-0.8133198,51900,390,180,0.05208054164454072
002222.06-091647.9,5.591949,-9.279995,3.78,2643.1,2643.1,-22.6,-4387,-13283,0.57,4522.5,5058.5,-43.1,-1668,-15253,0.79,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,0,0,,,0,5.3,-27.36,,5.5919598,-9.2799799,52145,653,413,0.06653836621107283
002302.55+153446.4,5.760633,15.579569,1.72,,,,,,,5757.8,5757.8,-38.5,-4780,-14777,0.8,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,10.1,-27.19,-26.97,5.7606602,15.579552,52233,753,462,0.11243722661263277
002342.97+010242.9,5.929054,1.045263,1.64,,,,,,,27.0,27.0,-2.7,-7012,-9496,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,18.2,,-26.78,5.9290852,1.0452769,51900,390,610,0.12294545806894074
002344.35+143115.4,5.93482,14.520955,1.87,0.0,0.0,0.0,,,,10.3,10.3,-2.4,-12813,-15086,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,16.3,-26.77,-26.66,5.9348468,14.520953,52233,753,165,0.09367515439273061
002422.31-090532.6,6.092971,-9.092397,2.44,0.0,0.0,0.0,,,,59.0,59.0,-3.4,-17427,-19971,0.08,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,1,3.4,-27.59,-27.32,6.0929739,-9.0923824,52145,653,441,0.053561416677486325
002615.57+152713.4,6.564908,15.453732,2.91,68.2,68.2,-4.5,-4005,-6282,0.27,1009.4,1531.9,-18.0,-2390,-7566,0.61,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,8.2,-27.36,,6.5649222,15.453754,52233,753,550,0.09327566919537247
002623.78+135523.5,6.599116,13.923204,1.31,,,,,,,,,,,,,504.4,504.4,-10.7,-8222,-14633,0.02,580.2,580.2,-17.1,-8734,-16107,0.0,0,0,1,0,,,0,0,0,3.9,,-26.91,6.5991377,13.923222,52233,753,2,0.09974183954293309
002710.06-094435.3,6.791932,-9.743157,2.07,770.8,770.8,-8.1,-4061,-8339,0.35,707.9,707.9,-12.4,-2999,-5967,0.88,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,0,0,0,0,0,,,0,17.8,-26.91,-26.67,6.7919226,-9.7431558,52145,653,556,0.0336305176980796
003049.20+000004.7,7.705039,0.001307,1.78,0.0,0.0,0.0,,,,19.1,19.1,-2.0,-16224,-18426,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,10.5,-27.24,-27.1,7.7050283,0.001302958,51793,392,316,0.041176787403201895
003132.09+155116.8,7.883745,15.85468,1.92,0.0,0.0,0.0,,,,264.1,264.1,-5.7,-21273,-24224,0.16,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.0,-27.26,-27.05,7.8837486,15.85467,51821,417,444,0.03809757728107053
003146.62+145519.4,7.944254,14.922074,3.36,0.0,0.0,0.0,,,,194.0,194.0,-3.2,-18505,-21735,0.04,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,1,,,0,9.5,-27.07,,7.9442607,14.922105,51821,417,176,0.11400770815305027
003150.78-103632.2,7.961587,-10.608949,2.99,4158.3,5428.6,-39.3,-1539,-14506,0.7,5600.2,6730.3,-61.2,-1443,-25062,0.68,0.0,0.0,0.0,,,,,,,,,,1,1,0,0,0,0,,,0,5.2,-27.59,,7.9615608,-10.608936,52146,654,186,0.10385069798658247
003210.02+151548.3,8.04176,15.263439,2.02,0.0,0.0,0.0,,,,0.0,370.6,-8.4,-1440,-4270,0.68,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,2.9,-27.53,-27.36,8.0417397,15.263413,51817,418,360,0.11718154012116799
003229.39+160006.8,8.122483,16.001912,1.57,,,,,,,471.4,471.4,-8.9,-7305,-10754,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.2,,-27.0,8.1224464,16.001894,51821,417,528,0.14226888803432447
003229.80-110947.1,8.124189,-11.163104,1.6,,,,,,,1509.0,1509.0,-14.6,-5294,-10743,0.59,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,13.0,,-26.64,8.1241827,-11.163105,52146,654,135,0.022540238032908676
003244.71-093430.1,8.18632,-9.575041,1.99,0.0,0.0,0.0,,,,3622.8,3622.8,-24.7,-14598,-25043,0.47,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,7.7,-27.28,-26.91,8.1863103,-9.5750491,52146,654,492,0.04512175239806727
003312.25+155442.4,8.301054,15.911779,1.95,4893.3,4893.3,-30.4,-5846,-15153,0.84,9580.0,9580.0,-57.7,-4508,-20354,0.91,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,0,0,,,0,7.7,-27.32,-27.01,8.3010487,15.911776,51817,418,323,0.02129140533701841
003551.98+005726.4,8.9666,0.95734,1.9,0.0,0.0,0.0,,,,1181.9,1181.9,-14.5,-4045,-8254,0.75,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,9.5,-27.14,-26.97,8.9666047,0.95738219,51793,392,449,0.15282328335091272
003657.27+140547.7,9.238631,14.09659,1.89,0.0,0.0,0.0,,,,56.8,56.8,-4.1,-6961,-9168,0.25,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.8,-27.44,-27.32,9.2386593,14.096594,51817,418,217,0.0998557893252584
003749.19+155208.3,9.454966,15.868982,4.07,0.0,0.0,0.0,,,,45.6,45.6,-3.6,-14418,-16965,0.16,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,2.5,-27.33,,9.4549704,15.869013,51817,418,452,0.11263527732678459
003832.26+152515.5,9.634456,15.420993,2.46,963.2,963.2,-9.5,-8722,-12927,0.52,3191.1,3191.1,-22.7,-6970,-15311,0.64,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,0,0,0,0,0,,,0,7.1,-27.34,-26.87,9.6344849,15.421022,51817,418,483,0.14476987417545237
003909.68-100639.0,9.79034,-10.110849,1.78,0.0,0.0,0.0,,,,212.2,212.2,-8.3,-6120,-8879,0.72,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,15.0,-26.99,-26.74,9.7903443,-10.11085,52162,655,275,0.01565903102345206
003922.32-095051.3,9.843032,-9.847603,1.88,18.6,18.6,-2.1,-7588,-9933,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,,,,0,13.2,-27.07,-26.81,9.8430598,-9.8475979,52162,655,239,0.10030015795893081
004007.61-103625.9,10.031715,-10.607198,2.55,123.0,123.0,-15.6,-16197,-18399,0.91,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,,,,0,2.0,-28.17,-27.39,10.031717,-10.607167,52162,655,131,0.11182416323094257
004018.67+005525.9,10.077824,0.923872,2.09,0.0,0.0,0.0,,,,0.0,1.0,-6.3,-2017,-4087,0.73,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,8.2,-27.31,-27.11,10.077828,0.92384855,51794,393,338,0.08563902435267347
004118.59+001742.4,10.327463,0.295137,1.76,0.0,0.0,0.0,,,,1106.4,1106.4,-11.0,-12195,-18117,0.15,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,1,,,0,10.7,-27.15,-26.91,10.327462,0.29516562,51793,392,631,0.10309487222990503
004238.31+141054.7,10.659658,14.181882,1.88,0.0,0.0,0.0,,,,0.0,867.9,-11.7,-818,-4476,0.66,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,4.8,-27.54,-27.45,10.659644,14.181885,51879,419,260,0.05004323978545645
004310.64+155109.1,10.794342,15.852548,1.61,,,,,,,2691.6,2691.6,-21.1,-7089,-14740,0.61,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,13.7,,-26.7,10.794362,15.852554,51879,419,420,0.07255164437858673
004323.43-001552.4,10.847629,-0.264559,2.8,0.0,0.0,0.0,,,,591.1,591.1,-7.3,-11275,-18092,0.0,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,18.0,-26.9,,10.847631,-0.26461993,51794,393,181,0.21946613405855503
004400.01-093200.0,11.000048,-9.533344,3.19,0.0,0.0,0.0,,,,533.1,533.1,-14.2,-8265,-13780,0.53,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,3.7,-27.68,,11.00003,-9.5333297,52162,655,632,0.08206125029802569
004410.65-092606.9,11.044381,-9.435276,2.28,0.0,0.0,0.0,,,,0.0,364.7,-10.3,-2425,-4910,0.89,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,2.7,-27.79,-27.44,11.04437,-9.435282,52162,655,625,0.0446382909486176
004515.44-011317.7,11.314355,-1.221602,1.59,,,,,,,14.6,14.6,-4.6,-7845,-9914,0.4,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,7.7,,-27.12,11.314378,-1.2215631,51794,393,122,0.16267736663460597
004527.68+143816.1,11.36535,14.637819,1.99,3522.8,3522.8,-22.4,-4258,-16942,0.32,6169.3,6169.3,-35.1,-4576,-17328,0.49,61.8,61.8,-2.8,-3690,-6451,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,,0,30.0,-26.45,-26.2,11.365366,14.637831,51879,419,104,0.07051328357668449
004613.54+010425.7,11.556427,1.073808,2.15,56.7,56.7,-2.3,-15918,-19082,0.0,3589.2,5042.1,-41.3,-1410,-20499,0.6,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1,1,0,0,0,0,,,0,20.4,-26.7,-26.62,11.556399,1.0738179,51794,393,572,0.10689846176679568
004652.66-103534.3,11.719428,-10.592886,1.79,0.0,0.0,0.0,,,,120.9,120.9,-5.1,-7826,-10239,0.31,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,8.1,-27.14,-26.96,11.719441,-10.592896,52148,656,134,0.05841425068113206
004732.73+002111.3,11.886388,0.353148,2.88,0.0,0.0,0.0,,,,234.8,234.8,-6.3,-8048,-11289,0.32,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,15.3,-26.97,,11.88634,0.35316766,51794,393,588,0.18672961134573235
004743.42-090501.5,11.930945,-9.083755,1.86,0.0,0.0,0.0,,,,0.0,46.5,-5.5,-973,-3182,0.47,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,11.0,-27.06,-26.76,11.930898,-9.0837452,52148,656,531,0.17076222108856204
004806.05-010321.6,12.025239,-1.056006,2.53,0.0,0.0,0.0,,,,0.0,17.0,-2.7,-588,-3073,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,38.6,-26.75,-26.63,12.025268,-1.0559833,51913,394,288,0.13256627193540235
004817.17+134034.0,12.07157,13.676124,1.59,,,,,,,4161.8,4161.8,-31.6,-5004,-12314,0.9,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,6.2,,-27.08,12.071575,13.676145,51879,419,2,0.07759670192457527
004817.89-094237.6,12.074547,-9.710471,1.71,,,,,,,4661.6,4661.6,-31.9,-6023,-15605,0.67,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,5.7,,-27.12,12.074536,-9.7104935,52148,656,559,0.08991410721923111
005001.81+002620.2,12.507551,0.438945,1.94,0.0,0.0,0.0,,,,337.7,337.7,-5.0,-16079,-19656,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,14.0,-27.43,-27.17,12.507556,0.43892879,51913,394,435,0.061068844111581116
005010.54+153909.5,12.543923,15.652655,2.95,0.0,0.0,0.0,,,,599.5,599.5,-10.7,-3007,-6112,0.8,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,8.3,-27.25,,12.543957,15.652691,51871,420,333,0.17517798213749483
005041.59+143755.8,12.673302,14.63219,3.53,3599.0,4152.4,-33.0,45,-10995,0.85,3564.0,5842.8,-39.9,3,-11933,0.81,120.7,377.1,-14.7,-284,-8014,0.41,,,,,,,1,1,1,0,0,0,0,,0,4.1,-27.51,,12.673296,14.632192,51871,420,229,0.02210491461479611
005234.45+154845.8,13.143579,15.812729,1.83,0.0,0.0,0.0,,,,4157.1,4157.1,-28.2,-8567,-17799,0.72,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.1,-27.24,-27.11,13.143569,15.812743,51871,420,451,0.06115495113988409
005311.92-093317.6,13.299672,-9.554901,1.64,,,,,,,1789.9,1789.9,-15.1,-8550,-15235,0.37,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,10.1,,-27.06,13.299701,-9.5548782,52177,657,490,0.1316668946734766
005355.15-000309.3,13.479811,-0.0526,1.72,,0.0,0.0,,,,430.6,430.6,-20.1,-4963,-19776,0.42,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,13.9,-27.09,-26.66,13.479803,-0.052571565,51783,395,352,0.10634019586820405
005408.46-094638.3,13.535259,-9.777312,2.13,0.0,0.0,0.0,,,,884.9,884.9,-15.9,-5240,-22524,0.13,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,23.4,-26.64,-26.44,13.53527,-9.7772623,52177,657,515,0.18312646751519732
005419.98+002727.9,13.583285,0.457762,2.52,424.6,424.6,-4.5,-6914,-11810,0.0,1416.0,1416.0,-14.9,-6818,-23270,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,,,0,35.0,-26.87,-26.59,13.583275,0.45777948,51913,394,511,0.07249724447919845
005634.20+152052.6,14.142532,15.347971,1.63,,,,,,,218.2,218.2,-6.6,-12201,-14681,0.58,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,3.4,,-27.32,14.142534,15.347958,51871,420,549,0.04731224270923747
005703.38+001408.2,14.264099,0.235619,3.02,0.0,0.0,0.0,,,,3424.5,3424.5,-23.9,-6338,-13853,0.67,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,4.5,-27.62,,14.264128,0.2356192,51783,395,394,0.10440159998466307
005837.30-003553.7,14.655443,-0.598251,1.81,0.0,0.0,0.0,,,,3261.8,3261.8,-22.1,-5032,-13238,0.59,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,6.4,-27.32,-27.11,14.655466,-0.5982869,51783,395,148,0.15348638419479754
005922.65+000301.4,14.844383,0.050395,4.15,67.1,67.1,-2.8,-5808,-8705,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,,,,0,3.6,-27.11,,14.84438,0.050391744,51783,395,512,0.01593850107477549
005945.09-095155.2,14.93791,-9.865335,3.04,1167.6,1167.6,-10.8,-6708,-10984,0.56,4888.1,4888.1,-32.8,-5646,-15436,0.77,0.0,0.0,0.0,,,,,,,,,,1,1,0,0,1,1,,,0,4.7,-27.65,,14.93793,-9.8653152,52146,658,490,0.1005617337399996
005951.66-084423.8,14.96529,-8.739966,2.14,0.0,0.0,0.0,,,,0.0,182.5,-8.9,-819,-3235,0.86,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,1,,,0,16.3,-26.77,-26.62,14.96531,-8.7399683,52146,658,409,0.07164401965259269
010039.71+154030.2,15.165499,15.675068,2.57,0.0,0.0,0.0,,,,2591.8,3295.7,-32.5,-1475,-13477,0.68,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,4.1,-27.61,-27.13,15.165477,15.675084,51821,421,406,0.09556416205274083
010118.51+142647.5,15.327146,14.446554,2.38,0.0,0.0,0.0,,,,44.0,44.0,-3.9,-15906,-18383,0.11,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,4.6,-27.61,-26.94,15.327142,14.446558,51821,421,164,0.02004530332096134
010119.85+145635.2,15.332716,14.943119,1.97,0.0,0.0,0.0,,,,0.4,704.4,-9.6,-1542,-5062,0.63,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,11.1,-27.11,-26.96,15.332712,14.943144,51821,421,491,0.09106905206241621
010241.03-004208.9,15.671,-0.702475,1.74,0.0,0.0,0.0,,,,355.3,1544.9,-13.8,-1593,-6148,0.65,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,9.6,-27.08,-26.95,15.670991,-0.7024699,51816,396,261,0.03723831103359451
010251.65-083510.4,15.715225,-8.586233,1.66,,,,,,,786.6,786.6,-10.7,-5568,-9500,0.67,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,7.3,,-27.07,15.715219,-8.5862184,52146,658,561,0.05673371201027986
010336.40-005508.7,15.901702,-0.91909,2.44,0.0,0.0,0.0,,,,80.4,961.3,-13.1,-990,-5545,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,3.7,-27.52,-27.19,15.901694,-0.9190836,51816,396,297,0.03687910234218026
010352.46+003739.7,15.968604,0.627704,0.7,,,,,,,,,,,,,,,,,,,11.4,11.4,-3.6,-9244,-11588,0.0,0,0,0,0,,,,0,0,,,-26.61,15.968614,0.62772053,51816,396,471,0.06954887861547862
010612.21+001920.1,16.550902,0.322264,3.12,910.1,1079.9,-8.9,-2479,-7034,0.32,3875.7,4431.5,-32.4,-2314,-11696,0.74,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,17.0,-26.91,,16.550897,0.32229468,51816,396,553,0.11190509574470765
010616.05+001524.0,16.566891,0.256683,3.04,0.0,0.0,0.0,,,,527.6,645.5,-18.9,-1182,-14768,0.31,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,5.5,-27.54,,16.566914,0.25667692,51816,396,552,0.0856433707422876
010727.40-105743.3,16.864177,-10.962034,2.05,0.0,0.0,0.0,,,,0.0,457.5,-7.7,-98,-3066,0.49,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,10.4,-27.31,-26.88,16.864149,-10.962071,52199,659,124,0.16593814346545815
010739.80-011042.5,16.915833,-1.178482,1.6,,,,,,,1905.9,1905.9,-23.7,-4327,-16667,0.48,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,6.7,,-27.03,16.915855,-1.178463,51816,396,41,0.10463530342386913
010746.23-095139.9,16.942658,-9.861099,1.85,0.0,0.0,0.0,,,,398.1,1065.5,-16.1,-2064,-19157,0.55,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.2,-27.5,-27.21,16.942647,-9.8610912,52199,659,187,0.04806924385564263
010754.95-095744.2,16.978974,-9.962288,2.13,0.0,0.0,0.0,,,,882.3,882.3,-12.4,-16711,-25022,0.12,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,12.8,-27.18,-26.8,16.978963,-9.9622807,52199,659,183,0.047030468905679954
010822.94-101939.4,17.09559,-10.32762,2.04,0.0,0.0,0.0,,,,65.1,65.1,-2.4,-12585,-15340,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,14.0,-27.12,-26.99,17.095583,-10.327625,52199,659,167,0.030637065255469158
010858.02+005114.6,17.241759,0.854061,2.97,0.0,0.0,0.0,,,,217.1,217.1,-4.2,-3149,-6323,0.0,0.0,0.0,0.0,,,,,,,,,,0,1,0,0,,0,,,0,8.9,-27.31,,17.241767,0.85406684,51794,397,333,0.035654793390078446
